Original Dist1 [id: 0]	
1.83926	-0.349352
1.70583	0.211971
1.31879	0.831639
1.72146	3.07902
-1.83769	2.38108
1.19278	-0.941182
1.41362	0.533904
1.0511	0.165736
0.875311	0.56327
2.01763	1.68754
1.29472	0.944858
2.74601	0.960507
0.0484899	-1.02254
-0.482982	0.627664
0.0873796	-0.648775
1.66182	0.632376
-0.0848437	-0.786412
0.486944	0.387244
1.14974	2.41955
1.10848	1.08842
1.40749	1.44678
1.51347	1.21669
-1.15851	1.58866
-0.165535	0.108615
1.3499	1.34025
3.11457	0.718611
0.330442	-0.0945425
0.144387	1.08258
0.209815	0.693507
0.507617	3.1636
0.478374	0.611175
0.15315	1.13585
1.16028	-0.672575
0.543874	1.93946
0.434146	2.14109
0.460416	1.33003
-0.214869	0.977196
0.477909	-0.434005
0.243712	1.77492
1.65925	0.455921
0.927447	-0.24973
0.847508	-0.30963
1.1057	-0.0593904
2.31648	2.23079
0.844844	1.0517
1.32075	-0.246009
-1.16164	0.516417
-0.00412479	2.2614
0.955959	2.51195
-0.130887	1.6683
0.0071026	0.676791
1.32127	1.19675
-0.249113	1.04483
1.92766	0.975477
0.725	0.683247
1.22476	2.34515
2.17606	-0.060264
0.857778	2.1163
2.20736	1.5992
0.99972	0.298506
1.39626	-0.512164
0.582462	0.550599
0.623904	1.86826
0.83043	1.6109
0.694344	1.68308
-0.365374	-0.261309
0.88903	2.94352
0.519742	0.914285
1.03175	1.24417
2.1146	-0.348137
0.493137	1.45345
0.234935	1.35095
1.15601	1.84118
0.375552	0.928884
0.112357	1.26686
1.97713	2.07757
0.742288	0.544378
2.16056	0.294904
1.7442	1.47327
1.55198	1.04993
1.25943	2.52537
1.55082	3.37049
0.416214	1.4649
-0.402772	0.904519
1.70854	0.808146
1.67945	0.324885
0.994365	1.42996
0.202169	-2.01716
0.928535	0.312092
0.705181	2.91672
0.806054	-0.365488
-0.135239	1.44964
0.276771	-0.141701
0.694217	1.06374
2.53999	1.563
0.917433	1.53541
-0.0343832	0.946071
2.31467	-0.401289
0.33351	1.08957
0.409152	2.00273
3.08631	1.34976
0.674215	-0.645604
1.42699	3.17952
0.0231802	2.45637
1.77782	-0.335912
2.04246	0.973181
-0.887631	4.51729
0.491659	-0.139249
2.36252	1.79705
2.33036	1.42388
0.113721	2.57624
0.148968	1.20142
1.24022	1.09323
0.595656	2.40311
0.458929	1.08748
0.943851	1.86472
1.6713	2.39752
0.0163976	0.446279
0.878042	2.38086
0.770014	1.44498
1.10147	-0.481346
0.419099	3.05707
0.94855	0.572204
0.249346	2.16298
1.07209	-0.994908
0.86285	0.696225
-0.240064	0.487731
-0.254704	0.454138
1.00653	0.262951
0.357712	1.85918
1.28239	0.957276
0.949917	2.26392
-0.138638	0.852475
2.39929	2.3348
1.24528	-0.465194
0.0246076	1.27725
1.98728	0.307729
1.03043	0.816452
0.190623	1.31384
1.58795	0.00788136
-1.76819	1.63356
0.830524	-0.796837
1.88995	0.135843
0.292517	-0.679859
0.944549	2.18378
1.57686	-0.352482
1.34488	-0.0307298
0.271249	2.48345
0.275088	1.00793
1.00916	-0.0798512
1.36737	1.52386
0.586394	0.48438
0.705343	3.17534
0.7757	-0.060658
1.79366	-0.500806
1.64741	0.999711
0.578998	-0.339127
0.857483	2.61709
1.25336	1.78377
2.09968	1.62054
-0.146924	1.73924
-0.784201	-1.02161
-0.498319	2.10186
0.505526	-0.106199
-1.75492	2.74343
1.40892	-0.774536
1.86589	1.91145
1.37022	1.0251
1.50983	2.1597
0.645529	1.16093
0.25044	-2.12674
1.62476	0.0223352
1.57	0.256985
1.3909	1.35182
2.47062	-0.723707
0.237948	1.43724
0.216602	0.912997
-0.36637	3.77657
2.14487	-0.0657079
1.93508	0.83614
1.05993	2.21251
1.65869	0.761455
1.67702	0.624079
2.62275	0.154512
0.919507	0.320058
1.55292	0.833329
-0.949325	1.26173
1.61445	1.12887
1.47725	-0.918069
1.03819	0.145133
0.570862	1.71379
0.317494	0.503263
1.74195	1.02833
0.381444	2.84509
-0.0332804	1.50798
2.02577	2.00856
0.0208011	1.27152
-0.310377	0.907268
0.404912	1.37548
1.36294	0.477164
1.35107	1.04521
0.550668	2.12872
-0.305497	1.06129
0.286748	2.01175
1.27395	0.0160855
-0.380716	1.10421
2.21643	2.00695
0.848365	0.860453
0.332805	2.31595
0.346377	1.70507
0.412327	1.32784
2.29122	1.86069
-0.244427	1.02385
2.45433	-0.171669
0.231198	-0.714334
1.64968	1.21872
0.461836	2.11278
2.54026	0.787782
1.48996	-0.0643306
-0.471986	-0.166318
0.874302	-0.906739
1.43882	2.72859
2.01406	-0.0879887
1.5294	-0.505696
0.978419	-0.620224
0.58009	0.517053
-0.883392	1.48824
0.887609	2.10808
1.17619	0.404812
0.708083	1.62653
-1.53779	0.584742
1.51526	1.76567
1.89247	1.78076
0.104601	0.499968
-0.277222	0.803414
1.14998	0.607959
1.85151	1.95317
1.80862	1.00631
1.35466	0.627232
1.27393	1.38539
1.62354	0.990031
-0.491695	-0.0585619
0.884258	1.23709
1.12262	1.37941
2.94525	0.00961354
0.658715	2.69052
1.67772	2.31476
0.429185	0.979192
1.8	0.0272579
1.48698	1.96582
0.970408	3.67028
2.33494	2.0492
2.02755	0.10959
1.0831	2.51397
0.679356	2.13641
2.14397	0.437481
2.90131	0.245867
1.35483	-1.04913
-0.676881	1.40602
0.530334	0.577927
0.566911	2.20392
3.08298	2.35443
0.557196	2.12284
0.371415	2.43454
0.825325	-0.433321
-0.787315	1.04691
2.98498	1.61829
2.2623	0.169913
0.660614	2.10674
-0.634814	0.155729
1.3593	0.217407
2.9512	0.226086
0.714292	-0.693951
1.35671	0.527238
0.282972	1.24057
0.950818	1.1602
0.914583	1.03551
1.1658	0.71051
0.698775	0.513493
1.08511	0.34607
0.262998	1.4411
1.36788	-0.185696
0.0464701	1.37022
0.72052	1.2374
0.918375	0.57935
0.417699	0.490768
1.23345	1.15428
2.29356	0.465936
1.60378	-0.871677
-0.833469	1.66304
0.581952	1.8899
2.99685	0.0468284
1.75133	2.77389
0.692982	-0.201389
0.558742	2.02243
-0.702269	0.695376
0.189456	-0.44558
1.74697	2.71157
1.43274	0.824646
2.64294	2.22066
-0.274353	0.449621
1.42689	-0.523605
2.00243	-1.15426
1.44023	1.50022
1.18835	-2.41622
0.722785	0.344065
0.526763	-0.240986
1.2936	2.66401
0.80127	0.575317
-0.104549	1.36887
2.32317	0.723758
0.918244	2.24491
1.90585	1.48762
2.60117	1.74203
1.17956	1.15051
1.48963	0.159504
2.19881	1.59139
0.804079	-0.773333
1.15353	0.13734
1.44375	0.328131
-0.286759	1.57505
-0.823438	1.25823
0.820681	0.0950274
0.293657	1.95084
1.9319	2.56383
0.237938	-0.0277973
0.0607448	0.325024
1.88186	1.38876
0.936861	0.768715
-0.534938	0.824587
0.157932	2.07371
2.16481	1.04848
0.426003	1.22418
1.48283	0.463994
0.881523	-1.44639
1.45559	0.535329
0.0326023	1.06033
0.793246	0.47095
0.683165	1.13896
1.72478	1.77802
0.763868	0.324518
2.15648	1.66366
0.76026	0.659201
2.74842	1.10042
0.525445	1.10708
2.07609	-0.374528
0.464205	0.256075
0.889407	1.17869
-1.29168	0.631093
1.4246	1.08058
0.539106	-0.46191
2.02185	1.53001
1.92884	-0.675821
1.98146	0.737297
1.09233	1.16853
-1.85793	1.68895
1.16323	0.439265
0.824825	2.42979
-0.363836	1.34309
0.906813	-0.285999
2.05825	2.33167
1.92461	0.988671
-0.749954	0.278064
2.01488	1.11821
1.50016	0.0115707
0.130309	0.60587
0.90176	2.46814
0.718197	-0.119918
1.2041	0.404078
0.433135	2.01875
0.618953	1.09822
1.0574	0.73803
2.17481	1.20224
-0.835439	-1.10466
0.30918	2.34939
2.06785	0.306089
2.16066	0.53021
2.17369	0.594811
1.86025	0.363013
2.40368	0.527257
1.35482	2.53396
1.46628	2.41712
-0.25127	1.71931
-1.77068	1.40228
0.592068	-0.883322
0.677859	0.710041
0.95006	1.82124
-0.482759	1.70554
1.17819	-0.097789
1.6038	1.40229
2.54885	1.52807
0.776374	0.496049
1.24468	0.32282
0.997662	0.8319
0.520069	1.52574
-0.0731521	0.64179
1.05738	0.118134
0.676967	1.51974
0.967247	1.67588
3.05096	2.37736
0.299654	0.510978
1.03526	1.97896
1.1339	1.65137
-0.367332	-0.05991
-0.0366994	0.56092
1.45597	1.26021
0.357341	1.95421
1.24505	-0.173107
0.115544	1.00749
2.19539	3.70233
0.727158	0.893543
1.01514	0.785793
0.546254	-0.513705
2.49662	1.78772
1.03137	-0.509917
-0.425643	0.472525
1.48566	-0.012355
0.711307	0.144968
1.73243	2.00931
2.10554	-0.240093
1.48016	2.28308
1.00191	2.11734
-0.489861	1.49835
2.12222	2.84581
3.06757	3.33832
-0.394232	0.371943
1.97544	1.95478
3.77333	0.439475
-1.66578	-1.67078
0.903693	2.65077
-0.467005	-0.0666185
1.20342	1.88882
-0.120675	1.05562
3.15673	0.138443
1.92466	0.893906
0.596477	2.45245
1.88259	-0.487688
1.74634	0.261419
1.11205	1.26274
1.02352	1.03251
1.48373	2.56181
1.32068	2.42744
2.03307	1.3304
1.2825	1.92689
2.60559	0.974023
-0.0468074	0.915891
2.65028	0.918258
2.58584	1.60625
0.650758	1.17833
0.770055	1.16543
2.63078	2.74457
1.2474	2.5702
0.197064	1.35662
0.810541	3.14925
1.02488	2.57274
-0.283464	1.41313
1.16398	1.63867
1.44055	0.126575
1.73785	1.97808
0.894029	-1.95714
1.62108	1.8591
1.5152	-0.62795
1.96246	0.448349
0.401361	0.112215
0.499741	1.65668
1.1014	-0.256461
-0.00890883	1.38588
0.54181	3.06891
0.274363	0.676345
0.679729	2.14659
1.20092	1.32043
-0.903043	0.827848
1.65674	0.233602
-0.405371	1.28462
0.537269	0.553869
0.889304	-0.108581
0.625407	0.878105
-0.41181	1.34525
1.94006	-0.199163
2.49296	-0.307421
1.03429	0.995968
0.199994	1.19116
0.687326	2.20771
2.43085	1.28712
-1.16792	0.776822
1.44326	1.60169
-0.067151	0.817169
0.645834	-0.592183
2.59385	1.57845
1.3061	2.21067
0.793808	-0.186599
1.06138	-0.512047
0.994055	0.598724
1.93089	0.483893
-0.0968626	1.30966
0.00981266	0.419049
0.890714	0.709649
-0.229384	-1.09697
0.23393	0.770771
1.28533	0.276869
1.11517	1.3359
1.33789	0.123504
0.59508	1.29698
0.653771	1.72525
2.0197	-0.00119941
3.67265	1.15316
2.23084	0.951145
1.44039	0.932321
0.685783	0.548601
1.47936	0.373017
1.18341	1.38269
1.21977	1.91481
-0.461368	-0.793233
0.745666	1.65414
1.12787	1.44143
0.338018	3.14213
1.49371	-0.670734
2.74213	2.4116
2.01781	-0.102406
-0.334738	0.700807
0.612205	1.2865
2.22446	0.409236
1.14733	0.211227
1.6309	0.748872
-0.970028	0.854166
2.03789	1.47853
-0.236652	-0.168411
1.41899	2.62735
1.97133	2.28311
-0.393737	1.66499
-0.3857	1.48715
1.2667	-0.460938
2.13622	0.868251
3.61787	0.0871527
0.958923	-1.17228
0.408383	-0.866751
1.63612	3.09577
0.394869	1.0934
0.323207	1.07967
2.93472	2.35809
1.63699	-0.545554
0.5005	2.10111
0.282251	0.859645
0.163318	2.6999
1.95747	3.57169
0.958362	2.28751
2.21464	0.691856
0.401586	1.1794
0.398349	1.61845
0.681807	0.986392
2.40278	0.771863
1.55317	-0.111387
2.66549	-2.01301
1.9964	0.132154
2.34645	0.301424
-0.185758	0.311102
0.439679	-0.464349
1.97823	1.88278
1.95141	0.367014
1.92861	-0.272949
1.96434	0.75686
1.11545	0.400184
0.810232	1.27322
0.228024	1.08271
1.25153	1.2277
1.98304	0.219261
2.00349	0.413551
0.332747	3.08435
1.88861	1.25772
1.33122	0.495058
0.0786056	2.33291
1.31678	1.68507
1.09924	2.34522
0.0746154	0.99756
1.60547	0.25029
1.47762	1.77323
0.575751	1.17354
-0.625044	1.75141
0.477608	-0.334696
1.26661	-0.821317
0.660162	1.58854
2.38073	-0.200877
0.54358	0.571824
-0.754263	0.472666
0.607197	-0.00861598
1.60276	0.794724
0.601556	-0.912411
0.974138	0.936767
3.12865	1.37664
0.890386	1.87867
2.25658	0.807176
0.959263	0.422843
0.871677	-0.704859
0.177036	0.643606
2.09471	0.966216
0.834434	2.25541
0.806634	1.60764
1.44511	0.932128
2.62918	1.14152
1.0362	1.74967
0.220256	1.85538
1.75097	0.92597
0.873102	2.07985
-0.0125648	0.969289
1.74328	0.21067
0.206348	-0.067645
1.71264	0.241826
1.64285	0.606672
2.87287	0.0741508
2.16525	2.85667
0.679456	-0.840733
0.893044	0.239919
-0.319627	1.25521
1.80628	0.400148
1.43732	0.490351
0.267456	0.516406
1.7528	0.580958
1.51615	1.15162
-0.090724	0.0761989
-0.0919159	2.58693
0.0112336	2.73925
2.23219	1.42044
1.80805	1.01135
3.46657	0.398405
1.63605	-0.909783
1.6102	-0.0230386
1.09596	0.616579
0.949373	0.680555
0.450124	2.68043
0.851515	2.97996
-0.314813	1.08184
1.8941	-1.65731
1.0734	-0.123588
2.45868	1.43494
1.17321	-0.599779
2.45136	1.18403
-0.0182168	1.13756
0.38851	0.219144
2.94263	0.202557
1.05832	0.461205
1.86515	1.47291
1.074	1.40919
-0.849714	-0.0751551
2.10124	1.00177
0.424382	-0.282412
1.28127	0.975143
2.08952	0.945724
-0.179634	1.72979
0.846192	1.40408
1.42899	1.57133
1.45715	0.69912
1.52271	0.451671
3.13696	0.125833
-0.87647	0.158062
0.944857	1.95152
1.63915	0.887122
0.349445	2.29253
2.2142	1.95956
1.07652	1.17516
0.21862	-0.591143
1.80104	2.06133
0.667202	0.461295
1.76225	1.02559
2.46128	-0.555165
3.23073	1.37262
1.53123	0.443037
1.80954	0.43968
1.60768	-0.9815
0.387457	1.34878
0.848024	1.05772
-1.18507	-0.669558
1.42733	-0.204226
