Modified Dist2 [id: 2]	
2.61003	7.78461
8.76664	14.4231
12.6	4.16855
4.08686	5.22324
6.6776	-6.27493
4.8604	4.53567
2.34608	15.8234
3.06377	5.972
4.82867	14.8657
5.1603	10.3682
1.65395	16.0056
3.30927	-0.822134
10.0293	18.8429
5.15615	15.3686
10.8167	-2.5979
1.87538	11.7345
3.25334	8.42002
4.87396	7.77193
-0.372319	3.12003
12.9154	-4.36587
8.03207	-0.957626
5.48502	1.54335
-2.66222	-3.48352
-2.84898	5.39335
4.76925	16.0557
0.137487	3.57638
7.63365	3.41869
0.597404	4.49401
-0.206263	-18.0825
4.7861	2.49312
2.17957	-1.0417
6.34893	16.3148
9.94261	9.1873
1.33155	-2.92401
3.59914	-0.69924
6.28873	-1.48714
1.93735	-1.36
4.76291	-2.38621
-0.723031	-7.82452
7.56742	-9.25405
13.6065	9.72075
6.9021	5.44818
1.9951	9.02066
6.93113	2.66249
-1.81066	0.830972
0.907923	4.67486
4.48556	2.65181
5.76255	6.57864
10.5802	4.90781
3.94102	6.67359
3.10637	8.68054
2.81428	-5.03493
4.91281	4.83543
4.08019	10.294
1.63709	-3.57074
0.482897	9.70267
-1.99502	6.39684
7.67346	6.47229
0.853275	-4.79088
4.73433	3.02785
-1.91319	10.1818
1.28572	4.19821
5.87652	4.86378
4.63561	19.24
5.45487	-4.1879
5.55441	-3.50722
2.00436	-5.84223
5.29862	6.80883
4.91383	-9.10837
5.80803	7.00227
0.928521	4.08055
3.57972	-8.43304
2.36967	20.3816
-3.42031	-1.70944
6.32777	3.05558
14.3867	9.83
-0.922683	-6.82657
4.47064	-0.526877
6.3155	2.15836
-0.0493634	15.6097
3.27318	13.164
6.23664	6.19761
9.38418	-7.28463
4.9292	7.16211
3.71402	9.20664
1.06171	18.361
2.50665	-3.2362
8.71454	9.50663
-0.240825	3.45401
4.0437	-3.14152
6.39104	14.2236
5.66439	-3.7205
0.854831	-8.03318
0.573049	2.75298
7.29609	-4.20451
4.28641	9.07026
0.396159	15.5433
3.43872	1.02144
6.83009	2.47771
